id,name,hp,convertedRetreatCost,number,nationalPokedexNumbers,has_rule,has_ability,has_ancient_trait,is_regulation,weakness_count,resistances_count,num_attacks,Colorless,Darkness,Dragon,Fairy,Fighting,Fire,Grass,Lightning,Metal,Psychic,Water,set_age,is_promo,rarity_score,marketPrice
hgss4-1,Aggron,0.368421053,0.8,0,0.298536585,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0.557650917,0,0.5,3.21
xy5-1,Weedle,0.131578947,0.2,0,0.012682927,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.39838065,0,0.166666667,0.12
pl1-1,Ampharos,0.342105263,0.4,0,0.176585366,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0.622219945,0,0.5,14.81
dp3-1,Ampharos,0.342105263,0.6,0,0.176585366,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.670185508,0,0.5,19.65
det1-1,Bulbasaur,0.157894737,0.2,0,0.00097561,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.242492569,0,0.166666667,0.6
dv1-1,Dratini,0.105263158,0.2,0,0.143414634,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.485702573,0,0.5,2.33
mcd19-1,Caterpie,0.131578947,0.2,0,0.009756098,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.222711899,0,0,10.79
pl3-1,Absol G,0.184210526,0.2,0,0.350243902,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0.602849236,0,0.5,17.16
ex12-1,Aerodactyl,0.184210526,0,0,0.138536585,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.735574459,0,0.5,37.73
ex3-1,Absol,0.184210526,0.2,0,0.350243902,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0.817566875,0,0.5,395
ru1-1,Venusaur,0.368421053,0.8,0,0.002926829,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.592087732,0,0,155.24
base4-1,Alakazam,0.210526316,0.6,0,0.063414634,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.957876396,0,0.5,37.29
hgss1-1,Arcanine,0.289473684,0.4,0,0.057560976,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.584913396,0,0.5,39.41
ex11-1,Beedrill δ,0.236842105,0,0,0.014634146,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.745106078,0,0.5,25.54
ex7-1,Azumarill,0.210526316,0.2,0,0.179512195,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.782412627,0,0.5,5.8
gym1-1,Blaine's Moltres,0.236842105,0.6,0,0.142439024,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.940248027,0,0.5,87.71
base3-1,Aerodactyl,0.157894737,0.4,0,0.138536585,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.971917598,0,0.5,26.74
sm9-1,Celebi & Venusaur-GX,0.710526316,0.8,0,0.123902439,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0.248949472,0,0.666666667,46.28
xy2-1,Caterpie,0.105263158,0.2,0,0.009756098,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.426360562,0,0.166666667,0.22
pop6-1,Bastiodon,0.342105263,0.6,0,0.40097561,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.67643743,0,0.5,1.58
hgss4-2,Altaria,0.236842105,0,0.003267974,0.325853659,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.557650917,0,0.5,3.82
pl1-2,Blastoise,0.342105263,0.4,0.003267974,0.008780488,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0.622219945,0,0.5,31.82
ex3-2,Altaria,0.210526316,0.2,0.003267974,0.325853659,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.817566875,0,0.5,40.87
dp3-2,Blastoise,0.315789474,0.4,0.003267974,0.008780488,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.670185508,0,0.5,76.37
base3-2,Articuno,0.184210526,0.4,0.003267974,0.140487805,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0.971917598,0,0.5,42.8
pl3-2,Blaziken FB,0.210526316,0.2,0.003267974,0.250731707,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.602849236,0,0.5,13.08
ex11-2,Crobat δ,0.236842105,0,0.003267974,0.164878049,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0.745106078,0,0.5,15.44
pop6-2,Lucario,0.236842105,0.2,0.003267974,0.437073171,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.67643743,0,0.5,5.78
xy2-2,Metapod,0.184210526,0.4,0.003267974,0.010731707,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.426360562,0,0.333333333,0.21
base4-2,Blastoise,0.263157895,0.6,0.003267974,0.008780488,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.957876396,0,0.5,107.4
gym1-2,Brock's Rhydon,0.210526316,0.6,0.003267974,0.109268293,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.940248027,0,0.5,23.96
hgss1-2,Azumarill,0.236842105,0.4,0.003267974,0.179512195,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0.584913396,0,0.5,4.91
det1-2,Ludicolo,0.368421053,0.6,0.003267974,0.265365854,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.242492569,0,0.5,0.76
sm9-2,Weedle,0.105263158,0.2,0.003267974,0.012682927,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.248949472,0,0.166666667,0.2
ex12-2,Aggron,0.289473684,0.8,0.003267974,0.298536585,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0.735574459,0,0.5,18.56
ex7-2,Dark Ampharos,0.315789474,0.4,0.003267974,0.176585366,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0.782412627,0,0.5,76.45
ru1-2,Cherrim,0.210526316,0.2,0.003267974,0.410731707,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.592087732,0,0,40.22
mcd19-2,Alolan Exeggutor,0.421052632,0.6,0.003267974,0.100487805,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.222711899,0,0,6.22
