id,name,image_url,image_path
hgss4-1,Aggron,https://images.pokemontcg.io/hgss4/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/hgss4-1.jpg
xy5-1,Weedle,https://images.pokemontcg.io/xy5/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/xy5-1.jpg
pl1-1,Ampharos,https://images.pokemontcg.io/pl1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/pl1-1.jpg
dp3-1,Ampharos,https://images.pokemontcg.io/dp3/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/dp3-1.jpg
det1-1,Bulbasaur,https://images.pokemontcg.io/det1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/det1-1.jpg
dv1-1,Dratini,https://images.pokemontcg.io/dv1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/dv1-1.jpg
mcd19-1,Caterpie,https://images.pokemontcg.io/mcd19/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/mcd19-1.jpg
pl3-1,Absol G,https://images.pokemontcg.io/pl3/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/pl3-1.jpg
ex12-1,Aerodactyl,https://images.pokemontcg.io/ex12/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ex12-1.jpg
ex3-1,Absol,https://images.pokemontcg.io/ex3/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ex3-1.jpg
ru1-1,Venusaur,https://images.pokemontcg.io/ru1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ru1-1.jpg
base4-1,Alakazam,https://images.pokemontcg.io/base4/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/base4-1.jpg
hgss1-1,Arcanine,https://images.pokemontcg.io/hgss1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/hgss1-1.jpg
ex11-1,Beedrill δ,https://images.pokemontcg.io/ex11/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ex11-1.jpg
ex7-1,Azumarill,https://images.pokemontcg.io/ex7/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ex7-1.jpg
gym1-1,Blaine's Moltres,https://images.pokemontcg.io/gym1/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/gym1-1.jpg
base3-1,Aerodactyl,https://images.pokemontcg.io/base3/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/base3-1.jpg
sm9-1,Celebi & Venusaur-GX,https://images.pokemontcg.io/sm9/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/sm9-1.jpg
xy2-1,Caterpie,https://images.pokemontcg.io/xy2/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/xy2-1.jpg
pop6-1,Bastiodon,https://images.pokemontcg.io/pop6/1.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/pop6-1.jpg
hgss4-2,Altaria,https://images.pokemontcg.io/hgss4/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/hgss4-2.jpg
pl1-2,Blastoise,https://images.pokemontcg.io/pl1/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/pl1-2.jpg
ex3-2,Altaria,https://images.pokemontcg.io/ex3/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/ex3-2.jpg
dp3-2,Blastoise,https://images.pokemontcg.io/dp3/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/dp3-2.jpg
base3-2,Articuno,https://images.pokemontcg.io/base3/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/base3-2.jpg
pl3-2,Blaziken FB,https://images.pokemontcg.io/pl3/2.png,/content/drive/MyDrive/Capstone/pokemon_images_dataset/pl3-2.jpg
